txn_id,timestamp,sender_account,receiver_account,amount,txn_type,channel,status,description,is_fraud,fraud_type
c0a0e0e8-4b3c-402e-9a85-d2119429c92d,2025-12-20 09:56:59.000000,ACC2849785671,ACC6695912196,21326.94,NEFT,NETBANKING,SUCCESS,Advertisement payment,False,
bf07c2b2-8543-4131-9fa6-be5a693b0bd8,2025-12-20 10:21:59.000000,ACC5948254671,ACC3105400301,114999.78,NEFT,MOBILE,SUCCESS,GST payment,False,
44d7c68f-491b-4011-8412-06efe1e22a75,2025-12-20 10:55:27.000000,ACC1547374338,ACC6726515966,6707.13,INTERNAL,BRANCH,SUCCESS,Service charge,False,
2db72e62-e36f-41ef-acd0-8055075343e3,2025-12-20 11:14:00.000000,ACC6698759353,ACC8802681056,28810.94,IMPS,API,SUCCESS,Supplier invoice,False,
0e405448-cd62-480f-8e71-0b2591cf7912,2025-12-20 11:44:30.000000,ACC7949795085,ACC6704841644,23734.69,INTERNAL,BRANCH,SUCCESS,Subscription renewal,False,
df519a4c-3249-43e6-9402-89165b3008b8,2025-12-20 12:10:27.000000,ACC2936179853,ACC4655730355,21142.62,NEFT,MOBILE,SUCCESS,Subscription renewal,False,
c4dfebfe-f315-4bd2-ab6d-536427665e02,2025-12-20 12:14:04.000000,ACC6515369278,ACC8543865915,22848.42,NEFT,MOBILE,SUCCESS,Vendor payment,False,
e3534458-3bf0-4b76-82b8-1e0aeb6cafcf,2025-12-20 13:09:41.000000,ACC8064477344,ACC5307145891,19073.65,NEFT,ATM,SUCCESS,Mutual fund SIP,False,
a7886a7d-bb5e-4660-9a43-f26d3fedc5b0,2025-12-20 13:12:23.000000,ACC1348697524,ACC5241397494,20000.0,UPI,API,SUCCESS,Freelance payment,False,
f3a73204-7b4c-4f94-91f4-9790eb17d97e,2025-12-20 13:22:06.000000,ACC5673482258,ACC7313226025,33148.71,IMPS,ATM,SUCCESS,Salary credit,False,
60393482-c9ef-4cfc-af97-1880bdca96a5,2025-12-20 13:33:06.000000,ACC2595467139,ACC9333798503,87784.41,IMPS,BRANCH,SUCCESS,Subscription renewal,False,
0314e2fe-b41c-4628-921c-57adb46e2a6c,2025-12-20 13:38:14.000000,ACC5482624860,ACC2847692041,13531.79,IMPS,MOBILE,SUCCESS,Advertisement payment,False,
928d1d10-655a-4c96-99f8-321ff631ca6e,2025-12-20 13:51:42.000000,ACC8160279830,ACC3178995337,20476.55,UPI,ATM,SUCCESS,Inter-branch transfer,False,
6bb0edb2-b9fa-4588-aea9-0e0625842ce8,2025-12-20 13:56:08.000000,ACC8182649048,ACC6611903015,30478.33,IMPS,NETBANKING,SUCCESS,Education fee,False,
b402f418-440f-44d3-837c-178b7f2b4068,2025-12-20 13:59:07.000000,ACC1322401182,ACC1614685938,256092.84,IMPS,ATM,SUCCESS,Mutual fund SIP,False,
5924f467-6bae-438a-b3b2-81c74a8ef8fe,2025-12-20 14:03:39.000000,ACC4993808565,ACC7609857128,6066.71,UPI,BRANCH,SUCCESS,Dividend credit,False,
35cbb42f-a21a-4f17-8040-884c2a7b5d88,2025-12-20 14:19:43.000000,ACC1366637148,ACC3178995337,100000.0,UPI,MOBILE,SUCCESS,Loan disbursement,False,
c35515a2-4487-4e63-aebc-96409a2d41af,2025-12-20 14:21:41.000000,ACC8960015186,ACC3019952485,200000.0,RTGS,API,SUCCESS,Deposit transfer,False,
cb9b5de0-a545-4948-8857-06ec92954162,2025-12-20 14:30:14.000000,ACC1566090561,ACC2051454923,9133.54,INTERNAL,NETBANKING,SUCCESS,Material purchase,False,
bd1ad8bc-b2d4-412d-a5c9-dfb752f2cf90,2025-12-20 14:54:38.000000,ACC2194673401,ACC1498733671,31506.21,UPI,ATM,SUCCESS,Maintenance fee,False,
b19c6ead-7923-4a57-aaa9-1739193f70c6,2025-12-20 14:55:48.000000,ACC8118240999,ACC8034746821,23626.52,INTERNAL,NETBANKING,SUCCESS,Legal fee,False,
0c424d45-0d60-4939-a383-4d6d3c76d92f,2025-12-20 15:06:33.000000,ACC9922723063,ACC4574027737,200000.0,RTGS,API,SUCCESS,Utility bill,False,
cd006202-0b13-4aae-bafe-c02ad032ea40,2025-12-20 15:10:56.000000,ACC9519284858,ACC2578662692,41187.12,UPI,NETBANKING,SUCCESS,Consulting fee,False,
baebc491-f857-4dfb-91d0-e5be35fde3aa,2025-12-20 15:17:09.000000,ACC1610900200,ACC6083042422,219746.0,IMPS,MOBILE,SUCCESS,Service charge,False,
8fdee4ae-e023-4095-a1aa-a64b57a2ca5d,2025-12-20 15:24:19.000000,ACC5241397494,ACC8088660633,20000.0,NEFT,NETBANKING,SUCCESS,Material purchase,False,
d586bcca-f611-4ed6-a402-1bef276c9cdb,2025-12-20 15:25:46.000000,ACC8924383984,ACC1945826486,9949.01,NEFT,ATM,SUCCESS,Maintenance fee,False,
82210d45-9a8e-46cf-8c43-7f41ffd786eb,2025-12-20 15:31:55.000000,ACC5085241101,ACC5158416864,34953.69,UPI,MOBILE,SUCCESS,Deposit transfer,False,
a70a71a7-8db6-4c07-b92f-8563794f0d9b,2025-12-20 15:37:06.000000,ACC7313646580,ACC8996039244,67033.42,NEFT,NETBANKING,SUCCESS,Office rent,False,
f68111df-d3c2-48d4-9329-00f6f0608e27,2025-12-20 15:42:08.000000,ACC2734202799,ACC2753617371,33889.56,UPI,NETBANKING,SUCCESS,Vendor payment,False,
96984b11-a2c7-43b7-9ca3-ad236951cc6b,2025-12-20 15:50:50.000000,ACC5555296751,ACC4783282817,21156.86,NEFT,ATM,SUCCESS,Education fee,False,
699bf955-c20f-4f48-9ca6-1851ebef8576,2025-12-20 15:58:18.000000,ACC6515369278,ACC9886101513,200000.0,RTGS,ATM,SUCCESS,Commission credit,False,
aa222d28-44e1-4866-ad2c-1c20b7cfb53d,2025-12-20 16:02:58.000000,ACC2463320861,ACC2452066459,12657.83,IMPS,NETBANKING,SUCCESS,Inter-branch transfer,False,
6a0e942a-67a8-44e9-8e61-4aeb63313fc4,2025-12-20 16:38:48.000000,ACC2521136431,ACC2549972386,394016.98,IMPS,API,SUCCESS,Rent payment,False,
4706cf2c-fe95-4451-97a6-aaec66c49f53,2025-12-20 17:07:43.000000,ACC4325887726,ACC7313226025,37908.16,INTERNAL,MOBILE,SUCCESS,Share transfer,False,
f2ac244d-4204-4c75-bc08-57f9f1df4481,2025-12-20 17:35:05.000000,ACC6341783555,ACC4131356954,26842.6,IMPS,API,SUCCESS,Supplier invoice,False,
38a85bff-5f9d-4729-a08c-b8617e2233ca,2025-12-20 17:39:04.000000,ACC5962610986,ACC3849232839,5895.28,IMPS,NETBANKING,SUCCESS,Maintenance fee,False,
916c84d4-c418-4f4a-af57-c1763163c1d6,2025-12-20 17:41:58.000000,ACC1566090561,ACC5471158508,57670.59,UPI,MOBILE,SUCCESS,Legal fee,False,
bd2d466d-a497-4741-84ee-be498c2f1739,2025-12-20 17:53:39.000000,ACC9202102595,ACC9886101513,100000.0,UPI,BRANCH,SUCCESS,Supplier invoice,False,
b5238735-5429-47ee-b54a-54245277516b,2025-12-20 18:12:49.000000,ACC6679017210,ACC7278136169,200000.0,RTGS,MOBILE,PENDING,Consulting fee,False,
cb2a55c0-9b5c-4237-b468-711477ab5c25,2025-12-20 21:03:51.000000,ACC8615270538,ACC9115009532,4672.45,UPI,MOBILE,SUCCESS,Deposit transfer,False,
65dd8fdf-2ec8-4097-b0d7-588687adbc36,2025-12-20 21:31:30.000000,ACC7767538527,ACC2437308013,110615.56,NEFT,MOBILE,SUCCESS,Consulting fee,False,
3c016db2-7a6d-4a0b-bec1-e03e0ca9cf47,2025-12-20 21:37:21.000000,ACC6218955985,ACC4574027737,57438.45,IMPS,API,SUCCESS,Vendor payment,False,
7aa5e3b9-0f85-4024-b824-17f004bf061e,2025-12-21 01:06:59.000000,ACC2644847276,ACC1251837136,22392.24,IMPS,BRANCH,SUCCESS,Inter-branch transfer,False,
d9f8078c-5dfc-4462-b173-8021b1d43cd1,2025-12-21 01:36:15.000000,ACC1429416213,ACC1252860896,11341.84,UPI,MOBILE,SUCCESS,Advertisement payment,False,
b2fdae4a-d416-4c06-9243-163a09567712,2025-12-21 03:42:45.000000,ACC5523703900,ACC7311011808,87418.95,IMPS,API,SUCCESS,Vendor payment,False,
988f1d3e-23a3-4cc7-9aeb-dabf3ae23095,2025-12-21 04:29:20.000000,ACC5983503547,ACC7105574449,192046.43,NEFT,BRANCH,SUCCESS,Office rent,False,
f6a8323d-630d-4120-9ac2-fdce728a3ac2,2025-12-21 04:35:23.000000,ACC9594878379,ACC1854316681,200000.0,RTGS,NETBANKING,SUCCESS,Service charge,False,
83d5a3d1-2fc9-45f3-ad54-24cd7fdc17db,2025-12-21 04:57:44.000000,ACC7658867789,ACC9744120054,15340.88,NEFT,NETBANKING,SUCCESS,Legal fee,False,
3eb79ab4-2d6b-4ef6-8fa8-5786972befb4,2025-12-21 05:14:19.000000,ACC3281169403,ACC7049536909,1068847.22,NEFT,MOBILE,SUCCESS,Mutual fund SIP,False,
8ba78de5-33c8-4975-a785-ef571dd57963,2025-12-21 06:06:51.000000,ACC6302109556,ACC5158416864,20574.29,NEFT,MOBILE,SUCCESS,Consulting fee,False,
31ef4571-42c3-4379-8302-3e217d0e8e3f,2025-12-21 06:09:48.000000,ACC4131356954,ACC3561557300,87097.56,IMPS,ATM,SUCCESS,Insurance premium,False,
d8d82b21-d614-4502-b14e-68b46027cf8c,2025-12-21 06:56:58.000000,ACC9803662851,ACC1634323009,2416.21,NEFT,NETBANKING,SUCCESS,Utility bill,False,
a14d2a2b-c050-489f-aac8-c707df4c3f75,2025-12-21 08:23:50.000000,ACC3553440342,ACC1131671246,132854.57,NEFT,BRANCH,SUCCESS,Staff salary,False,
153690aa-3b04-471b-9933-88be988349ce,2025-12-21 08:33:43.000000,ACC2388450337,ACC6520103410,25062.35,UPI,MOBILE,SUCCESS,Audit payment,False,
35e2b210-1ca8-4f3e-a6aa-c5b489907fe1,2025-12-21 09:00:50.000000,ACC8160279830,ACC2064746525,62883.18,UPI,ATM,SUCCESS,Material purchase,False,
70cc1adb-17dd-43e4-bde7-def3d8a5a06c,2025-12-21 09:21:52.000000,ACC9995834531,ACC5759234471,1119635.71,INTERNAL,MOBILE,SUCCESS,Mutual fund SIP,False,
66108241-b317-4771-a125-b8a740f66361,2025-12-21 09:50:25.000000,ACC3119634399,ACC4733616459,50894.38,IMPS,API,SUCCESS,Travel reimbursement,False,
aede8659-a2b3-4b96-ad30-59d8de65de66,2025-12-21 09:56:41.000000,ACC2549972386,ACC8115628227,20000.0,IMPS,BRANCH,SUCCESS,Rent payment,False,
2afcb196-fe2a-4763-af77-4f646695aadd,2025-12-21 09:56:55.000000,ACC8904911624,ACC4096932037,34761.13,UPI,BRANCH,SUCCESS,Office rent,False,
08106601-bbed-4a52-a73b-ddf6c2758f04,2025-12-21 10:13:13.000000,ACC1124352982,ACC4482238042,31377.74,UPI,MOBILE,SUCCESS,Deposit transfer,False,
c86881e7-197e-4d3f-bcb1-228da3558f2f,2025-12-21 10:19:28.000000,ACC7783763790,ACC5849815676,200000.0,RTGS,MOBILE,SUCCESS,Material purchase,False,
0c07fc66-7325-4110-9a93-e565998e300c,2025-12-21 10:51:32.000000,ACC8378385615,ACC8739238825,52950.41,NEFT,ATM,SUCCESS,Supplier invoice,False,
2c6bcc10-bfff-4797-9b57-28d543c052e4,2025-12-21 11:18:02.000000,ACC5085241101,ACC9523104008,200000.0,RTGS,API,SUCCESS,Education fee,False,
3389df4a-9a54-4888-a6b1-5b78cdcf3546,2025-12-21 11:45:55.000000,ACC3561557300,ACC3597009738,93015.86,UPI,MOBILE,SUCCESS,Advertisement payment,False,
5fc9329e-bbfa-4a87-aea9-bf438d62852e,2025-12-21 11:58:07.000000,ACC8479902459,ACC2135872495,8845.86,UPI,ATM,PENDING,Rent payment,False,
4b8066f4-946d-47f1-8e20-bad7bae9a721,2025-12-21 11:58:49.000000,ACC6111349421,ACC9426850694,7901.76,NEFT,NETBANKING,SUCCESS,FD maturity credit,False,
7f0aa30b-ace7-43f8-9237-1189dcf8e88d,2025-12-21 12:07:15.000000,ACC5789633176,ACC4037867512,100000.0,UPI,MOBILE,SUCCESS,Office rent,False,
b660351f-c30b-49de-949c-53d918a8cab0,2025-12-21 13:07:34.000000,ACC1977515194,ACC5560712830,319570.6,NEFT,BRANCH,SUCCESS,Vendor payment,False,
4167c4a6-01ca-4d2c-9dcd-e843dee56d5b,2025-12-21 13:53:54.000000,ACC6083042422,ACC6695912196,9894.57,UPI,MOBILE,SUCCESS,Medical expense,False,
8f2c1c08-16de-4dec-af99-5dcb5b089c69,2025-12-21 13:54:41.000000,ACC3693985578,ACC3540128512,6439.39,NEFT,MOBILE,SUCCESS,Inter-branch transfer,False,
070d4419-5453-48bc-acc5-c5ac15c4ce52,2025-12-21 14:12:05.000000,ACC2549972386,ACC1136505587,22620.33,UPI,NETBANKING,SUCCESS,Legal fee,False,
ac9851cf-59d2-4bb8-a3b4-b0ad491a8447,2025-12-21 14:55:20.000000,ACC5310195918,ACC4776677517,4599.73,UPI,BRANCH,SUCCESS,Medical expense,False,
bce442e4-5c4e-4f87-91af-e91b041bb7b5,2025-12-21 14:58:22.000000,ACC6532043071,ACC2193448329,200000.0,RTGS,BRANCH,PENDING,Subscription renewal,False,
14d84643-d529-4136-8e49-34e781a98aa1,2025-12-21 15:07:56.000000,ACC4996346509,ACC7099469983,21034.13,INTERNAL,MOBILE,SUCCESS,Rent payment,False,
95899046-df55-4e43-b285-74e5df13e528,2025-12-21 15:12:31.000000,ACC8802681056,ACC5010075517,71999.57,IMPS,API,SUCCESS,Utility bill,False,
af3b7d7e-1920-482e-9f6e-cf62cf032157,2025-12-21 15:16:37.000000,ACC9995834531,ACC7597996327,435881.09,IMPS,NETBANKING,SUCCESS,Commission credit,False,
1b823b6e-455d-452e-8b62-2e515815723f,2025-12-21 15:30:08.000000,ACC8763140509,ACC8164814926,10102.12,UPI,MOBILE,SUCCESS,Share transfer,False,
336be893-9e27-4cc0-94db-ad997ec20534,2025-12-21 15:51:06.000000,ACC7597996327,ACC7313646580,69066.86,NEFT,API,SUCCESS,Salary credit,False,
b46eec45-db25-4a64-a556-4e2c096e145c,2025-12-21 16:03:40.000000,ACC9928378856,ACC9594878379,35062.79,UPI,API,SUCCESS,Subscription renewal,False,
31fa3661-d1d4-4c11-a742-7277861babc3,2025-12-21 17:03:04.000000,ACC3654424954,ACC8779941999,79953.7,UPI,MOBILE,SUCCESS,Medical expense,False,
e5dfaeb3-450a-41f7-99ce-2f0ef0028f5f,2025-12-21 17:04:17.000000,ACC4993808565,ACC5307145891,16265.68,IMPS,API,SUCCESS,Deposit transfer,False,
de630799-a782-410d-ba46-3014ea6b221f,2025-12-21 17:47:55.000000,ACC2962491159,ACC2995226582,43079.76,IMPS,NETBANKING,SUCCESS,Travel reimbursement,False,
0fd35a66-dce6-4a2c-aa6c-90d0f7628222,2025-12-21 17:58:28.000000,ACC3119634399,ACC7019900273,77060.52,IMPS,API,SUCCESS,Salary credit,False,
67ba22c0-dcc1-4398-bb5e-35aaafeb9f2b,2025-12-21 18:02:15.000000,ACC3163970710,ACC4131356954,262752.97,INTERNAL,MOBILE,SUCCESS,Service charge,False,
1a5232bf-e6f0-4a2a-8308-504a6c8b9cae,2025-12-21 18:45:19.000000,ACC1977515194,ACC6590459705,279054.86,NEFT,MOBILE,SUCCESS,Dividend credit,False,
8f2906a5-3aa8-41c1-9c93-e47f5b3d127f,2025-12-21 18:50:53.000000,ACC6433231472,ACC1311570307,20000.0,UPI,BRANCH,SUCCESS,Mutual fund SIP,False,
d4055bc5-5e50-4428-a8d9-75153e7253a9,2025-12-21 22:42:44.000000,ACC7473041886,ACC7278136169,645243.42,NEFT,NETBANKING,SUCCESS,Medical expense,False,
c7380e98-8dc3-43af-a258-5d29469773a6,2025-12-21 23:02:08.000000,ACC4459716271,ACC2193448329,6427.69,UPI,NETBANKING,SUCCESS,GST payment,False,
a946b6ea-77fa-47ab-826b-e000f663b985,2025-12-21 23:17:20.000000,ACC6611903015,ACC8779941999,200000.0,RTGS,NETBANKING,SUCCESS,Subscription renewal,False,
a4710566-d970-4864-bdcd-6b58f2dbb148,2025-12-22 01:40:31.000000,ACC2595467139,ACC9886101513,51112.32,IMPS,NETBANKING,SUCCESS,Medical expense,False,
fac22a8a-0173-4c08-b9de-83869d978416,2025-12-22 04:42:35.000000,ACC3271782991,ACC7040502394,39422.91,IMPS,NETBANKING,SUCCESS,Insurance premium,False,
646562c8-51cc-4b55-b26f-f16d1e2af167,2025-12-22 06:12:22.000000,ACC9922723063,ACC7019900273,177970.0,IMPS,BRANCH,SUCCESS,Medical expense,False,
c91a7cb3-7f62-429b-8a4b-9abc1549b715,2025-12-22 06:27:38.000000,ACC4482238042,ACC8722962486,28820.75,IMPS,API,SUCCESS,Advertisement payment,False,
55ea6ede-ca6b-4c8c-b379-4c04ad82188c,2025-12-22 07:09:33.000000,ACC3362646960,ACC7099469983,47293.3,IMPS,ATM,SUCCESS,Travel reimbursement,False,
7e49566b-eeee-47e5-9878-f05e68247c18,2025-12-22 07:34:04.000000,ACC5492496998,ACC4733616459,14808.06,INTERNAL,MOBILE,SUCCESS,Vendor payment,False,
53490c64-a387-4a89-b05d-340a66846a2f,2025-12-22 07:56:50.000000,ACC3163970710,ACC8122042835,100000.0,UPI,API,SUCCESS,Service charge,False,
aeb3949d-8eb7-4fd4-b1be-ff37e2345012,2025-12-22 08:00:23.000000,ACC4580822352,ACC6341783555,12310.25,IMPS,BRANCH,SUCCESS,GST payment,False,
8d7f1a5e-bf36-4ca1-8eaf-232606316874,2025-12-22 09:24:37.000000,ACC5523703900,ACC7019900273,23109.12,IMPS,BRANCH,SUCCESS,Legal fee,False,
e788d51f-30a4-4615-9330-c75cdfeba659,2025-12-22 09:38:32.000000,ACC4642197907,ACC4876877928,98132.23,UPI,API,FAILED,Vendor payment,False,
60909fee-f5f6-4633-88ad-09283653929d,2025-12-22 09:42:16.000000,ACC4673561638,ACC1392245997,546.41,IMPS,MOBILE,SUCCESS,Deposit transfer,False,
220e4e11-6aa0-4acd-a089-8c7488caf3b9,2025-12-22 09:49:08.000000,ACC2135872495,ACC8033702319,200000.0,RTGS,MOBILE,SUCCESS,Medical expense,False,
e300e3d1-82b3-4919-b7d0-3b4d0ee71e59,2025-12-22 09:49:42.000000,ACC9333798503,ACC5673482258,200000.0,RTGS,MOBILE,SUCCESS,Service charge,False,
f80db911-51fd-45fb-8ca7-c824b966c746,2025-12-22 09:52:59.000000,ACC9383431259,ACC5838636972,43143.57,IMPS,MOBILE,SUCCESS,Medical expense,False,
af2ddf1d-f20e-4176-ae7d-24afbc31636a,2025-12-22 10:05:44.000000,ACC2631775357,ACC5923940434,35248.98,UPI,NETBANKING,SUCCESS,Mutual fund SIP,False,
b9d3719c-d03c-4bc9-9476-48c5714868a2,2025-12-22 10:26:43.000000,ACC3084839399,ACC8468071953,64081.17,UPI,NETBANKING,SUCCESS,Deposit transfer,False,
acce43c7-03e4-4461-b669-bf72db5f56c0,2025-12-22 10:29:10.000000,ACC3303082117,ACC2194673401,46829.71,UPI,NETBANKING,SUCCESS,Freelance payment,False,
09edb780-b555-4e14-9c03-0caa4372e5e4,2025-12-22 10:32:52.000000,ACC4590711152,ACC5923940434,830394.22,INTERNAL,MOBILE,SUCCESS,Subscription renewal,False,
f4cafb4e-1cce-413d-94d2-2a0d759aad66,2025-12-22 11:09:37.000000,ACC4131356954,ACC6463640105,13475.73,UPI,MOBILE,SUCCESS,Supplier invoice,False,
a57895cb-1709-40aa-afec-56aaf3f77bb4,2025-12-22 11:18:12.000000,ACC1245522987,ACC6320115677,100000.0,UPI,NETBANKING,SUCCESS,Insurance premium,False,
171b15b7-e356-45c7-a851-2f0ac7b1a581,2025-12-22 11:22:34.000000,ACC3281169403,ACC6633778586,426382.3,IMPS,MOBILE,SUCCESS,Audit payment,False,
6428775b-7f69-4c09-b5be-68a8a2a56c21,2025-12-22 11:29:07.000000,ACC5694628398,ACC4275930923,71048.69,IMPS,API,SUCCESS,Service charge,False,
95b6fe90-f83f-462c-b1a9-afb3e6beb44e,2025-12-22 11:49:59.000000,ACC8334179373,ACC5085241101,31719.39,UPI,BRANCH,SUCCESS,Maintenance fee,False,
3175776e-4bb8-4c27-84b8-eb39186ca0f4,2025-12-22 12:20:46.000000,ACC7767538527,ACC5307145891,100000.0,UPI,NETBANKING,SUCCESS,Medical expense,False,
fa9e36b4-9e15-4375-9476-8678427d0466,2025-12-22 12:28:37.000000,ACC8495457335,ACC9033293776,34089.35,INTERNAL,MOBILE,SUCCESS,Consulting fee,False,
9084aa9e-63f2-4326-bec1-022cf90356a8,2025-12-22 12:43:46.000000,ACC3792347639,ACC8118240999,23995.67,NEFT,API,SUCCESS,EMI payment,False,
cf4fc580-d74f-41f0-8793-ed9327eec56b,2025-12-22 12:51:53.000000,ACC4590711152,ACC8182649048,7132.14,UPI,MOBILE,FAILED,Subscription renewal,False,
33e3a226-066a-4c84-a887-08e76702c79b,2025-12-22 13:22:26.000000,ACC3024977737,ACC4300636585,20000.0,IMPS,MOBILE,SUCCESS,Salary credit,False,
95c5d8a9-429b-46d0-875d-1c070a0c0b21,2025-12-22 13:42:55.000000,ACC1230249217,ACC7783763790,200000.0,RTGS,MOBILE,FAILED,Supplier invoice,False,
ac25886e-e9c3-4532-b96e-fc611a632dad,2025-12-22 13:47:04.000000,ACC9929101065,ACC9776185998,27051.19,NEFT,MOBILE,SUCCESS,Mutual fund SIP,False,
898f5615-3cb6-4471-990b-37d679e83af7,2025-12-22 14:20:24.000000,ACC8960015186,ACC6691628146,24349.16,IMPS,BRANCH,FAILED,Share transfer,False,
b6e0eea5-7127-40da-8dc0-06a43980b875,2025-12-22 14:22:51.000000,ACC9259157845,ACC6679017210,20000.0,IMPS,NETBANKING,SUCCESS,Maintenance fee,False,
4b93439b-0f3d-46c6-a094-553014414838,2025-12-22 15:05:48.000000,ACC7403028869,ACC5012760260,15255.3,UPI,ATM,SUCCESS,FD maturity credit,False,
c1477fcf-d1d8-4245-b3bc-ec727f768f58,2025-12-22 15:29:42.000000,ACC3373077218,ACC9594878379,7442.47,UPI,API,SUCCESS,GST payment,False,
11cc6ddb-5360-4786-8a54-f2195588cb23,2025-12-22 15:32:28.000000,ACC9573276057,ACC3719679239,166456.1,IMPS,MOBILE,SUCCESS,Inter-branch transfer,False,
6da0fa5d-bfe1-4256-9de3-c9ab2fb83b29,2025-12-22 15:43:16.000000,ACC8438486479,ACC3424843951,3229.86,NEFT,NETBANKING,SUCCESS,Consulting fee,False,
1520fede-a1ae-451d-8713-683428b80b6f,2025-12-22 15:46:28.000000,ACC9963334018,ACC2950049698,22921.77,INTERNAL,API,SUCCESS,Travel reimbursement,False,
81d75efc-00d9-43c0-8f04-83fafc32d329,2025-12-22 16:12:50.000000,ACC5836956044,ACC3746317213,36448.94,UPI,NETBANKING,SUCCESS,Travel reimbursement,False,
ce5769b0-34eb-455a-99f0-556fa2bc33f6,2025-12-22 16:16:16.000000,ACC1240251661,ACC7311011808,8164.8,IMPS,MOBILE,SUCCESS,Loan disbursement,False,
24c6a15c-ec08-4281-8b88-e411d3c49e5d,2025-12-22 16:35:47.000000,ACC5791662169,ACC8160279830,47215.87,UPI,MOBILE,FAILED,Medical expense,False,
7346a9d4-2862-4144-a8a0-5bd68c19d5cc,2025-12-22 16:36:51.000000,ACC7949795085,ACC3597009738,23844.17,INTERNAL,MOBILE,SUCCESS,Freelance payment,False,
7ad6022a-1a8b-4282-9d9a-eb2c456d9086,2025-12-22 16:57:24.000000,ACC9033293776,ACC1198486416,10357.53,UPI,API,SUCCESS,Supplier invoice,False,
47d81554-643f-49f6-a293-772b67cf1acf,2025-12-22 17:13:26.000000,ACC4993808565,ACC2950049698,7387.53,UPI,BRANCH,SUCCESS,EMI payment,False,
9562fb9d-c3bc-4611-bbbe-6ca6ab3c55ad,2025-12-22 17:15:12.000000,ACC3693985578,ACC2595467139,24892.68,UPI,MOBILE,SUCCESS,GST payment,False,
b3958584-3619-4a96-9676-741ce7e0b322,2025-12-22 17:23:58.000000,ACC7199283151,ACC7393195616,20000.0,UPI,NETBANKING,SUCCESS,Utility bill,False,
